title,price,star_rating,availability,category,price_gbp,rating,in_stock,price_inr
Chase Me (Paris Nights #2),£25.27,Five,In stock,Romance,25.27,5,True,2665.985
Black Dust,£34.53,Five,In stock,Romance,34.53,5,True,3642.915
Her Backup Boyfriend (The Sorensen Family #1),£33.97,One,In stock,Romance,33.97,1,True,3583.835
First and First (Five Boroughs #3),£15.97,Four,In stock,Romance,15.97,4,True,1684.835
Fifty Shades Darker (Fifty Shades #2),£21.96,One,In stock,Romance,21.96,1,True,2316.78
The Wedding Dress,£24.12,One,In stock,Romance,24.12,1,True,2544.6600000000003
Suddenly in Love (Lake Haven #1),£55.99,Two,In stock,Romance,55.99,2,True,5906.945000000001
Something More Than This,£16.24,Four,In stock,Romance,16.24,4,True,1713.32
Doing It Over (Most Likely To #1),£35.61,Three,In stock,Romance,35.61,3,True,3756.855
The Wedding Pact (The O'Malleys #2),£32.61,Three,In stock,Romance,32.61,3,True,3440.355
Hold Your Breath (Search and Rescue #1),£28.82,One,In stock,Romance,28.82,1,True,3040.51
Dirty (Dive Bar #1),£40.83,Four,In stock,Romance,40.83,4,True,4307.565
Take Me Home Tonight (Rock Star Romance #3),£53.98,Three,In stock,Romance,53.98,3,True,5694.889999999999
Off the Hook (Fishing for Trouble #1),£47.67,Three,In stock,Romance,47.67,3,True,5029.185
A Gentleman's Position (Society of Gentlemen #3),£14.75,Five,In stock,Romance,14.75,5,True,1556.125
"Sit, Stay, Love",£20.90,Three,In stock,Romance,20.9,3,True,2204.95
A Girl's Guide to Moving On (New Beginnings #2),£31.30,One,In stock,Romance,31.3,1,True,3302.15
The Perfect Play (Play by Play #1),£59.99,Three,In stock,Romance,59.99,3,True,6328.945000000001
Dark Lover (Black Dagger Brotherhood #1),£12.87,One,In stock,Romance,12.87,1,True,1357.7849999999999
Changing the Game (Play by Play #2),£13.38,Three,In stock,Romance,13.38,3,True,1411.5900000000001
A Walk to Remember,£56.43,One,In stock,Romance,56.43,1,True,5953.365
The Purest Hook (Second Circle Tattoos #3),£12.25,One,In stock,Romance,12.25,1,True,1292.375
The Obsession,£45.43,One,In stock,Romance,45.43,1,True,4792.865
Reservations for Two,£11.10,Three,In stock,Romance,11.1,3,True,1171.05
Best of My Love (Fool's Gold #20),£27.41,Two,In stock,Romance,27.41,2,True,2891.755
Where Lightning Strikes (Bleeding Stars #3),£39.77,Three,In stock,Romance,39.77,3,True,4195.735000000001
This One Moment (Pushing Limits #1),£48.71,One,In stock,Romance,48.71,1,True,5138.905
"Rhythm, Chord & Malykhin",£28.34,Two,In stock,Romance,28.34,2,True,2989.87
My Perfect Mistake (Over the Top #1),£38.92,Two,In stock,Romance,38.92,2,True,4106.06
Listen to Me (Fusion #1),£58.99,Three,In stock,Romance,58.99,3,True,6223.445000000001
Imperfect Harmony,£34.74,Four,In stock,Romance,34.74,4,True,3665.07
Fighting Fate (Fighting #6),£39.24,Three,In stock,Romance,39.24,3,True,4139.820000000001
Deep Under (Walker Security #1),£47.09,Five,In stock,Romance,47.09,5,True,4967.995000000001
Charity's Cross (Charles Towne Belles #4),£41.24,One,In stock,Romance,41.24,1,True,4350.820000000001
Bounty (Colorado Mountain #7),£37.26,Four,In stock,Romance,37.26,4,True,3930.93
