category_name,title,price_gbp,rating,in_stock
Horror,Psycho: Sanitarium (Psycho #1.5),36.97,5,True
Horror,Dracula the Un-Dead,35.63,5,True
Horror,'Salem's Lot,49.56,4,True
Horror,Needful Things,47.51,4,True
Horror,Night Shift (Night Shift #1-20),12.75,4,True
Horror,The Girl with All the Gifts,49.47,3,True
Horror,It,25.01,3,True
Horror,Red Dragon (Hannibal Lecter #1),23.37,3,True
Horror,Pet Sematary,10.56,3,True
Horror,The Stand,57.86,2,True
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,True
Mystery,A Time of Torment (Charlie Parker #14),48.35,5,True
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,True
Mystery,The Silkworm (Cormoran Strike #2),23.05,5,True
Mystery,The Girl You Lost,12.29,5,True
Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,True
Mystery,The Past Never Ends,56.5,4,True
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,True
Mystery,Sharp Objects,47.82,4,True
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,True
Romance,Deep Under (Walker Security #1),47.09,5,True
Romance,Black Dust,34.53,5,True
Romance,Chase Me (Paris Nights #2),25.27,5,True
Romance,A Gentleman's Position (Society of Gentlemen #3),14.75,5,True
Romance,Dirty (Dive Bar #1),40.83,4,True
Romance,Bounty (Colorado Mountain #7),37.26,4,True
Romance,Imperfect Harmony,34.74,4,True
Romance,Something More Than This,16.24,4,True
Romance,First and First (Five Boroughs #3),15.97,4,True
Romance,The Perfect Play (Play by Play #1),59.99,3,True
